Date : 2022-04-05 23:49:48
Directory : /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo
Total : 81 files,  1731 codes, 993 comments, 552 blanks, all 3276 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| pythonServer/server/core/config                                                                                           |          2 |         29 |         45 |         20 |         94 |
| pythonServer/server/db                                                                                                    |          1 |         18 |          1 |          5 |         24 |
| pythonServer/server/db/mysql                                                                                              |          1 |         18 |          1 |          5 |         24 |
| pythonServer/server/db/mysql/migrations                                                                                   |          1 |         18 |          1 |          5 |         24 |
| pythonServer/server/logic                                                                                                 |          1 |         18 |          3 |         10 |         31 |
| pythonServer/server/logs                                                                                                  |          3 |         27 |          0 |          3 |         30 |
| pythonServer/server/models                                                                                                |          1 |         29 |         18 |         13 |         60 |
| pythonServer/server/router                                                                                                |          2 |          8 |         32 |          8 |         48 |
| pythonServer/server/schemas                                                                                               |          5 |         92 |         77 |         50 |        219 |
| pythonServer/server/schemas/request                                                                                       |          4 |         53 |         63 |         39 |        155 |
| pythonServer/server/schemas/response                                                                                      |          1 |         39 |         14 |         11 |         64 |
| pythonServer/server/tests                                                                                                 |          6 |        130 |        117 |         57 |        304 |
| pythonServer/server/tests/api                                                                                             |          3 |         78 |         72 |         30 |        180 |
| pythonServer/server/tests/api/v1                                                                                          |          3 |         78 |         72 |         30 |        180 |
| pythonServer/server/tests/utils                                                                                           |          1 |         12 |         12 |          4 |         28 |
| pythonServer/server/utils                                                                                                 |          2 |         17 |         37 |          9 |         63 |
| src                                                                                                                       |         31 |        627 |        204 |        154 |        985 |
| src/api                                                                                                                   |          3 |        106 |         43 |         24 |        173 |
| src/api/config                                                                                                            |          1 |         15 |          9 |          4 |         28 |
| src/api/user                                                                                                              |          1 |         12 |          7 |          9 |         28 |
| src/components                                                                                                            |         11 |        200 |         25 |         40 |        265 |
| src/components/basicComponents                                                                                            |          7 |        113 |          0 |         27 |        140 |
| src/components/basicComponents/cell                                                                                       |          4 |         74 |          0 |         15 |         89 |
| src/components/basicComponents/cell/icon                                                                                  |          1 |         35 |          0 |          2 |         37 |
| src/components/basicComponents/cell/info                                                                                  |          1 |         13 |          0 |          5 |         18 |
| src/components/basicComponents/cell/input                                                                                 |          1 |         13 |          0 |          4 |         17 |
| src/components/basicComponents/cell/table                                                                                 |          1 |         13 |          0 |          4 |         17 |
| src/components/basicComponents/list                                                                                       |          3 |         39 |          0 |         12 |         51 |
| src/components/basicComponents/list/info                                                                                  |          1 |         13 |          0 |          4 |         17 |
| src/components/basicComponents/list/input                                                                                 |          1 |         13 |          0 |          4 |         17 |
| src/components/basicComponents/list/table                                                                                 |          1 |         13 |          0 |          4 |         17 |
| src/components/header                                                                                                     |          2 |         61 |         18 |          9 |         88 |
| src/components/menu                                                                                                       |          2 |         26 |          7 |          4 |         37 |
| src/config                                                                                                                |          4 |         52 |         44 |         35 |        131 |
| src/config/pageConfigs                                                                                                    |          2 |         35 |         19 |         16 |         70 |
| src/config/pageConfigs/taskList                                                                                           |          1 |          6 |          6 |          7 |         19 |
| src/config/siteConfig                                                                                                     |          2 |         17 |         25 |         19 |         61 |
| src/config/siteConfig/header                                                                                              |          1 |          2 |          6 |          4 |         12 |
| src/config/siteConfig/menu                                                                                                |          1 |         15 |         19 |         15 |         49 |
| src/router                                                                                                                |          1 |         13 |          6 |          4 |         23 |
| src/utils                                                                                                                 |          4 |         67 |         64 |         21 |        152 |
| src/utils/import                                                                                                          |          1 |          4 |          6 |          1 |         11 |
| src/views                                                                                                                 |          2 |         42 |          0 |          4 |         46 |
| src/views/customPersonalPreview                                                                                           |          1 |         22 |          0 |          1 |         23 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/.eslintrc.js                                                | JavaScript         |         25 |          6 |          0 |         31 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/README.md                                                   | Markdown           |         17 |          6 |          9 |         32 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/auto-imports.d.ts                                           | TypeScript         |         10 |          2 |          1 |         13 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/babel.config.js                                             | JavaScript         |          6 |          0 |          0 |          6 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/components.d.ts                                             | TypeScript         |         21 |          3 |          3 |         27 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/config/proxyTable.js                                        | JavaScript         |         31 |         14 |          9 |         54 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/package.json                                                | JSON               |         48 |          0 |          1 |         49 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/public/img/icons/safari-pinned-tab.svg                      | XML                |          3 |          0 |          1 |          4 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/public/index.html                                           | HTML               |         16 |          1 |          1 |         18 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/items.py                         | Python             |         41 |         21 |         16 |         78 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/sys_scheduler.py                 | Python             |         51 |         26 |         19 |         96 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/user.py                          | Python             |         25 |         37 |         12 |         74 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/__init__.py                      | Python             |          1 |          0 |          1 |          2 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/custom_exc.py                    | Python             |          9 |         12 |          8 |         29 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/deps.py                          | Python             |         27 |         28 |          6 |         61 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/logger.py                        | Python             |         14 |         22 |          9 |         45 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/session.py                       | Python             |         57 |         14 |         24 |         95 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/sys_redis.py                     | Python             |         44 |         34 |         13 |         91 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/sys_schedule.py                  | Python             |         26 |         22 |         14 |         62 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/core/celery_app.py                      | Python             |          3 |         12 |          5 |         20 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/core/config/__init__.py                 | Python             |          2 |         28 |          4 |         34 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/core/config/development_config.py       | Python             |         27 |         17 |         16 |         60 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/core/security.py                        | Python             |         23 |         33 |         10 |         66 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/core/server.py                          | Python             |         92 |        115 |         41 |        248 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/db/mysql/migrations/20211209-init.sql   | SQL                |         18 |          1 |          5 |         24 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/dbconfig.yml                            | YAML               |          5 |          0 |          0 |          5 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/logic/user_logic.py                     | Python             |         18 |          3 |         10 |         31 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/logs/2022-04-05_error.log               | Log                |          0 |          0 |          1 |          1 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/logs/2022-04-05_info.log                | Log                |         27 |          0 |          1 |         28 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/logs/2022-04-05_warning.log             | Log                |          0 |          0 |          1 |          1 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/main.py                                 | Python             |          8 |         31 |         10 |         49 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/models/users.py                         | Python             |         29 |         18 |         13 |         60 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/requirements.txt                        | pip requirements   |         70 |          0 |          0 |         70 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/router/__init__.py                      | Python             |          0 |         12 |          2 |         14 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/router/v1_router.py                     | Python             |          8 |         20 |          6 |         34 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/schemas/request/sys_api.py              | Python             |         10 |         16 |          7 |         33 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/schemas/request/sys_authority_schema.py | Python             |          7 |         16 |          5 |         28 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/schemas/request/sys_casbin.py           | Python             |          5 |         13 |          4 |         22 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/schemas/request/sys_user_schema.py      | Python             |         31 |         18 |         23 |         72 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/schemas/response/resp.py                | Python             |         39 |         14 |         11 |         64 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/README.md                         | Markdown           |          6 |          0 |          7 |         13 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/api/v1/test_casbin.py             | Python             |         33 |         28 |         13 |         74 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/api/v1/test_cron.py               | Python             |         24 |         13 |          8 |         45 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/api/v1/test_user.py               | Python             |         21 |         31 |          9 |         61 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/conftest.py                       | Python             |         34 |         33 |         16 |         83 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/tests/utils/user.py                     | Python             |         12 |         12 |          4 |         28 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/utils/cron_task.py                      | Python             |          3 |         12 |          3 |         18 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/utils/tools_func.py                     | Python             |         14 |         25 |          6 |         45 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/App.vue                                                 | Vue                |         76 |          0 |          8 |         84 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/api/config/cookie.ts                                    | TypeScript         |         15 |          9 |          4 |         28 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/api/requests.ts                                         | TypeScript         |         79 |         27 |         11 |        117 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/api/user/user.ts                                        | TypeScript         |         12 |          7 |          9 |         28 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/cell/icon/iconCell.vue       | Vue                |         35 |          0 |          2 |         37 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/cell/info/infoCell.vue       | Vue                |         13 |          0 |          5 |         18 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/cell/input/inputCell.vue     | Vue                |         13 |          0 |          4 |         17 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/cell/table/tableCell.vue     | Vue                |         13 |          0 |          4 |         17 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/list/info/infoList.vue       | Vue                |         13 |          0 |          4 |         17 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/list/input/inputList.vue     | Vue                |         13 |          0 |          4 |         17 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/basicComponents/list/table/tableList.vue     | Vue                |         13 |          0 |          4 |         17 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/header/header.vue                            | Vue                |         52 |          0 |          2 |         54 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/header/headerConfigtemplate.ts               | TypeScript         |          9 |         18 |          7 |         34 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/menu/menu.vue                                | Vue                |         26 |          1 |          3 |         30 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/components/menu/menuConfigTemplate.ts                   | TypeScript         |          0 |          6 |          1 |          7 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/config/pageConfigs/index.ts                             | TypeScript         |         29 |         13 |          9 |         51 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/config/pageConfigs/taskList/taskListTemplate.ts         | TypeScript         |          6 |          6 |          7 |         19 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/config/siteConfig/header/index.ts                       | TypeScript         |          2 |          6 |          4 |         12 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/config/siteConfig/menu/index.ts                         | TypeScript         |         15 |         19 |         15 |         49 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/main.d.ts                                               | TypeScript         |          4 |          6 |          2 |         12 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/main.ts                                                 | TypeScript         |         23 |          6 |          5 |         34 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/registerServiceWorker.ts                                | TypeScript         |         29 |          1 |          3 |         33 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/router/index.ts                                         | TypeScript         |         13 |          6 |          4 |         23 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/shims-tsx.d.ts                                          | TypeScript         |         10 |          2 |          2 |         14 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/shims-vue.d.ts                                          | TypeScript         |          5 |          7 |          6 |         18 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/utils/Login.ts                                          | TypeScript         |          2 |          6 |          2 |         10 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/utils/cellClass.ts                                      | TypeScript         |         35 |         37 |         13 |         85 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/utils/import/vue-file-import.d.ts                       | TypeScript         |          4 |          6 |          1 |         11 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/utils/index.ts                                          | TypeScript         |         26 |         15 |          5 |         46 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/views/Home.vue                                          | Vue                |         20 |          0 |          3 |         23 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/src/views/customPersonalPreview/Index.vue                   | Vue                |         22 |          0 |          1 |         23 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/tsconfig.json                                               | JSON with Comments |         32 |         11 |          0 |         43 |
| /Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/vue.config.js                                               | JavaScript         |         31 |          9 |         10 |         50 |
| Total                                                                                                                     |                    |      1,731 |        993 |        552 |      3,276 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
