"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "Vue", "XML", "Python", "YAML", "Log", "SQL", "pip requirements", "comment", "blank", "total"
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/.eslintrc.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 31
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 32
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/auto-imports.d.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/components.d.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 27
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/config/proxyTable.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 54
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/public/img/icons/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/public/index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/items.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 21, 16, 78
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/sys_scheduler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 26, 19, 96
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/api/v1/user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 37, 12, 74
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/chenzhihan/Desktop/github/HomeServer/configforpagedemo/pythonServer/server/common/custom_exc.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 12, 8, 29
